SubOrgID	Naam	OrgID	ChangeDate	Centrum	Gebruiker
642	kerngroep lokaal middelenbeleid	693	2009-12-28 11:15:41	NWV	NWVKVR
643	stuurgroep lokaal middelenbeleid	693	2009-12-28 11:15:57	NWV	NWVKVR
644	kerngroep lokaal middelenbeleid	460	2009-12-28 13:08:59	NWV	NWVKVR
645	stuurgroep lokaal middelenbeleid	460	2009-12-28 13:09:04	NWV	NWVKVR
646	kerngroep lokaal middelenbeleid	692	2009-12-28 13:33:06	NWV	NWVKVR
647	stuurgroep lokaal middelenbeleid	692	2009-12-28 13:33:13	NWV	NWVKVR
648	stuurgroep lokaal middelenbeleid	444	2009-12-29 10:28:28	NWV	NWVKVR
649	kerngroep lokaal middelenbeleid	444	2009-12-29 10:28:36	NWV	NWVKVR
650	kerngroep DOS	949	2009-12-29 10:50:24	NWV	NWVKVR
651	stuurgroep DOS	949	2009-12-29 10:50:33	NWV	NWVKVR
653	Intervisie Bijzondere Jeugdzorg	440	2009-12-29 13:30:53	NWV	NWVKVR
654	stuurgroep +cafe	453	2009-12-29 14:59:50	NWV	NWVKVR
655	Werkgroep Grenzen Stellen	450	2009-12-29 16:15:57	NWV	NWVKVR
656	WG onderwijs	371	2009-12-29 16:16:34	VAD	VADIBE
657	WG Buitengewoon onderwijs	371	2009-12-29 16:17:19	VAD	VADIBE
658	sectoroverleg onderwijs	371	2010-12-14 16:37:22	VAD	VADIBE
659	Werkgroep Trajectbegeleiding	963	2009-12-30 11:43:10	VAD	VADIBE
660	Commissie gezondheidsbevordering	963	2009-12-30 11:43:20	VAD	VADIBE
661	Werkgroep website	963	2009-12-30 11:43:30	VAD	VADIBE
663	Studio monk	371	2009-12-30 16:01:48	VAD	VADJOS
664	Ugent, vakgroep geografie	371	2009-12-30 16:16:21	VAD	VADJOS
665	leerlingbevraging 2009	453	2009-12-30 16:42:49	NWV	NWVKVR
666	Onderwijs	967	2010-01-04 10:18:22	KAS	KASJVV
667	Jeugd	967	2010-01-04 10:18:41	KAS	KASJVV
668	Sport	967	2010-01-04 10:18:54	KAS	KASJVV
669	Onderwijs	968	2010-01-04 10:19:08	KAS	KASJVV
670	Jeugd	968	2010-01-04 10:19:15	KAS	KASJVV
671	Sport	968	2010-01-04 10:19:22	KAS	KASJVV
672	Onderwijs	969	2010-01-04 10:19:31	KAS	KASJVV
673	Jeugd	969	2010-01-04 10:19:37	KAS	KASJVV
674	Sport	969	2010-01-04 10:19:42	KAS	KASJVV
675	OCMW	968	2010-01-04 11:22:02	KAS	KASJVV
676	OCMW	969	2010-01-04 11:22:11	KAS	KASJVV
677	OCMW	967	2010-01-04 11:22:21	KAS	KASJVV
678	Welzijn	969	2010-01-04 11:31:57	KAS	KASJVV
679	Welzijn	968	2010-01-04 11:39:48	KAS	KASJVV
680	Preventie	982	2010-01-04 15:54:15	VAD	VADJRO
681	Dienst Welzijn en Gezondheid	984	2010-01-04 15:58:07	VAD	VADJRO
682	Dienst Welzijn en Gezondheid	35	2010-01-04 15:59:24	VAD	VADJRO
683	werkgroep hulpverlening	986	2010-01-05 10:31:29	NWV	NWVRDV
685	Dept. Klinische Psychologie	991	2010-01-06 09:58:58	VAD	VADJRO
686	Vakgroep Maatschappelijke Gezondheidkunde	992	2010-01-06 10:00:28	VAD	VADJRO
687	Vakgroep Epidemiologie en Sociale Geneeskunde	997	2010-01-06 10:08:07	VAD	VADJRO
688	Werkgroep Studie en Onderzoek	371	2010-01-06 10:09:12	VAD	VADJRO
689	preventie-aanbieders	510	2010-01-06 10:41:51	ALT	ALTLDM
690	Gemeentelijk overlegplatform (GOP)	625	2010-01-06 13:34:32	ALT	ALTLDM
